algorithm,k,regione,percentuale_vaccinati,cluster
K-MEANS-BISECTING,3,Abruzzo,0.6239737453083277,1
K-MEANS-BISECTING,3,Basilicata,0.6053446169411172,0
K-MEANS-BISECTING,3,Calabria,0.5713947920039537,0
K-MEANS-BISECTING,3,Campania,0.593620961734468,0
K-MEANS-BISECTING,3,Emilia-Romagna,0.5992011335382874,0
K-MEANS-BISECTING,3,Friuli-Venezia Giulia,0.6216518331966635,1
K-MEANS-BISECTING,3,Lazio,0.5957592265132334,0
K-MEANS-BISECTING,3,Liguria,0.6384506608469306,1
K-MEANS-BISECTING,3,Lombardia,0.6120424296517947,0
K-MEANS-BISECTING,3,Marche,0.6094034524971926,0
K-MEANS-BISECTING,3,Molise,0.6510333943691894,1
K-MEANS-BISECTING,3,Piemonte,0.5973184093456675,0
K-MEANS-BISECTING,3,Provincia Autonoma Bolzano / Bozen,0.6057071658094676,0
K-MEANS-BISECTING,3,Provincia Autonoma Trento,0.5518435231163205,2
K-MEANS-BISECTING,3,Puglia,0.6084914657273072,0
K-MEANS-BISECTING,3,Sardegna,0.5725626867305917,0
K-MEANS-BISECTING,3,Sicilia,0.5385000566013258,2
K-MEANS-BISECTING,3,Toscana,0.5901642517186962,0
K-MEANS-BISECTING,3,Umbria,0.6171040204020055,1
K-MEANS-BISECTING,3,Valle d'Aosta / Vallée d'Aoste,0.6058113725331934,0
K-MEANS-BISECTING,3,Veneto,0.5875152216827242,0
